"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.igate.hbms.bean","src/com/igate/hbms/bean/HotelBean.java","3","76","Parameter 'avgRatePerNight' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"2","com.igate.hbms.bean","src/com/igate/hbms/bean/HotelBean.java","3","82","Parameter 'hotelID' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","com.igate.hbms.bean","src/com/igate/hbms/bean/HotelBean.java","3","88","Parameter 'city' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"4","com.igate.hbms.bean","src/com/igate/hbms/bean/HotelBean.java","3","94","Parameter 'hotelName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"5","com.igate.hbms.bean","src/com/igate/hbms/bean/HotelBean.java","3","100","Parameter 'address' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"6","com.igate.hbms.bean","src/com/igate/hbms/bean/ReportBean.java","3","18","Parameter 'hotelId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","com.igate.hbms.bean","src/com/igate/hbms/bean/ReportBean.java","3","24","Parameter 'hotelName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","com.igate.hbms.bean","src/com/igate/hbms/bean/ReportBean.java","3","30","Parameter 'userFirstname' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"9","com.igate.hbms.bean","src/com/igate/hbms/bean/ReportBean.java","3","36","Parameter 'bookedFrom' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.igate.hbms.bean","src/com/igate/hbms/bean/ReportBean.java","3","42","Parameter 'bookedTo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomDetailsBean.java","3","24","Parameter 'hotelId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"12","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomDetailsBean.java","3","30","Parameter 'roomId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomDetailsBean.java","3","36","Parameter 'roomNo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomDetailsBean.java","3","42","Parameter 'roomType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"15","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomDetailsBean.java","3","48","Parameter 'perNightRate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"16","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomTypeBean.java","3","29","Parameter 'noOfRooms' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"17","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomTypeBean.java","3","35","Parameter 'noOfNights' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"18","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomTypeBean.java","3","41","Parameter 'noOfAdults' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"19","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomTypeBean.java","3","47","Parameter 'noOfChildren' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","com.igate.hbms.bean","src/com/igate/hbms/bean/RoomTypeBean.java","3","53","Parameter 'fromDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","com.igate.hbms.bean","src/com/igate/hbms/bean/UserBean.java","3","69","Parameter 'mobile' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","com.igate.hbms.bean","src/com/igate/hbms/bean/UserBean.java","3","75","Parameter 'state' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"23","com.igate.hbms.bean","src/com/igate/hbms/bean/UserBean.java","3","81","Parameter 'pincode' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"24","com.igate.hbms.bean","src/com/igate/hbms/bean/UserBean.java","3","87","Parameter 'city' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"25","com.igate.hbms.bean","src/com/igate/hbms/bean/UserBean.java","3","93","Parameter 'gender' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"26","com.igate.hbms.bo","src/com/igate/hbms/bo/HbmsBO.java","3","17","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"27","com.igate.hbms.bo","src/com/igate/hbms/bo/HbmsBO.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
